NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-217,2,Fase 2 (5º e 6º ano)
ALUNO-218,1,Fase 1 (4º ano)
ALUNO-219,2,Fase 3 (7º e 8º ano)
ALUNO-220,1,Fase 2 (5º e 6º ano)
ALUNO-221,3,Fase 5 (1º EM)
ALUNO-222,,
ALUNO-223,,
ALUNO-224,1,Fase 2 (5º e 6º ano)
ALUNO-225,5,Fase 6 (2º EM)
ALUNO-226,,
ALUNO-227,,
ALUNO-228,1,Fase 2 (5º e 6º ano)
ALUNO-229,0,Fase 2 (5º e 6º ano)
ALUNO-230,,
ALUNO-231,,
ALUNO-232,6,Fase 7 (3º EM)
ALUNO-233,0,ALFA  (2º e 3º ano)
ALUNO-234,0,ALFA  (2º e 3º ano)
ALUNO-235,4,Fase 4 (9º ano)
ALUNO-236,0,ALFA  (2º e 3º ano)
ALUNO-237,2,Fase 4 (9º ano)
ALUNO-238,,
ALUNO-239,1,Fase 3 (7º e 8º ano)
ALUNO-240,,
ALUNO-241,2,Fase 3 (7º e 8º ano)
ALUNO-242,2,Fase 3 (7º e 8º ano)
ALUNO-243,,
ALUNO-244,0,ALFA  (2º e 3º ano)
ALUNO-245,0,Fase 2 (5º e 6º ano)
ALUNO-246,1,Fase 3 (7º e 8º ano)
ALUNO-247,1,Fase 2 (5º e 6º ano)
ALUNO-248,1,Fase 2 (5º e 6º ano)
ALUNO-249,,
ALUNO-250,0,ALFA  (2º e 3º ano)
ALUNO-251,2,Fase 2 (5º e 6º ano)
ALUNO-252,0,Fase 2 (5º e 6º ano)
ALUNO-253,0,Fase 1 (4º ano)
ALUNO-254,0,ALFA  (2º e 3º ano)
ALUNO-255,0,ALFA  (2º e 3º ano)
ALUNO-256,1,Fase 1 (4º ano)
ALUNO-257,2,Fase 3 (7º e 8º ano)
ALUNO-258,0,Fase 2 (5º e 6º ano)
ALUNO-259,,
ALUNO-260,0,Fase 2 (5º e 6º ano)
ALUNO-261,,
ALUNO-262,7,Fase 7 (3º EM)
ALUNO-263,7,Fase 7 (3º EM)
ALUNO-264,1,Fase 2 (5º e 6º ano)
ALUNO-265,,
ALUNO-266,2,Fase 2 (5º e 6º ano)
ALUNO-267,4,Fase 6 (2º EM)
ALUNO-268,0,Fase 1 (4º ano)
ALUNO-269,,
ALUNO-270,,
ALUNO-271,,
ALUNO-272,1,Fase 1 (4º ano)
ALUNO-273,1,Fase 2 (5º e 6º ano)
ALUNO-274,,
ALUNO-275,4,Fase 5 (1º EM)
ALUNO-276,0,Fase 1 (4º ano)
ALUNO-277,1,Fase 4 (9º ano)
ALUNO-278,,
ALUNO-279,3,Fase 4 (9º ano)
ALUNO-280,,
ALUNO-281,1,Fase 2 (5º e 6º ano)
ALUNO-282,6,Fase 7 (3º EM)
ALUNO-283,6,Fase 7 (3º EM)
ALUNO-284,,
ALUNO-285,,
ALUNO-286,,
ALUNO-287,,
ALUNO-288,4,Fase 3 (7º e 8º ano)
ALUNO-289,1,Fase 2 (5º e 6º ano)
